Algorithm,Case_Range,Average_JCT_Seconds,Average_Queue_Delay_Seconds,Average_DDL_Violation_Duration_Seconds,Total_DDL_Violation_Duration_Seconds,DDL_Violated_Jobs_Count,Finished_Jobs_Count,Do_Schedule_Count,Average_Do_Schedule_Duration_ms,Max_Do_Schedule_Duration_ms
HydraBABWithHeuristic,0-210,20304.02857142857,7034.019047619047,0.0,0.0,0,210,1,3073,3073
HydraBABWithHeuristic,0-220,20939.163636363635,7397.254545454545,0.0,0.0,0,220,1,3454,3454
HydraBABWithHeuristic,0-230,20659.765217391305,7615.926086956521,0.0,0.0,0,230,1,3915,3915
HydraBABWithHeuristic,0-240,20753.395833333332,7913.670833333334,0.0,0.0,0,240,1,4610,4610
HydraBABWithHeuristic,0-250,21402.152,8724.224,0.0,0.0,0,250,1,5385,5385
HydraBABWithHeuristic,0-260,22159.834615384614,9140.823076923078,0.0,0.0,0,260,1,6225,6225
HydraBABWithHeuristic,0-270,22867.63703703704,9421.674074074073,0.0,0.0,0,270,1,7016,7016
HydraBABWithHeuristic,0-280,23498.364285714284,9929.346428571429,0.0,0.0,0,280,1,8186,8186
HydraBABWithHeuristic,0-290,23789.124137931034,10340.082758620689,0.0,0.0,0,290,1,9366,9366
HydraBABWithHeuristic,0-300,24443.23,11069.326666666666,0.0,0.0,0,300,1,10833,10833
HydraBABWithHeuristic,0-310,25793.767741935484,11790.732258064516,0.0,0.0,0,310,1,14408,14408
HydraBABWithHeuristic,0-320,26729.015625,12307.05625,0.0,0.0,0,320,1,18506,18506
HydraBABWithHeuristic,0-330,27275.630303030302,12860.269696969697,0.0,0.0,0,330,1,32103,32103
HydraBABWithHeuristic,0-340,28378.220588235294,13483.079411764706,0.0,0.0,0,340,1,27797,27797
HydraBABWithHeuristic,0-350,28689.751428571428,13726.471428571429,0.0,0.0,0,350,1,33736,33736
HydraBABWithHeuristic,0-360,29131.06111111111,14877.972222222223,0.0,0.0,0,360,1,57125,57125
HydraBABWithHeuristic,0-370,29459.02162162162,15151.110810810811,0.0,0.0,0,370,1,72773,72773
HydraBABWithHeuristic,0-380,29495.236842105263,15467.26052631579,0.0,0.0,0,380,1,73398,73398
HydraBABWithHeuristic,0-390,29780.776923076923,15742.651282051282,0.0,0.0,0,390,1,97691,97691
HydraBABWithHeuristic,0-400,31283.8,16393.16,0.0,0.0,0,400,1,118257,118257
HydraHeuristic,0-10,2907.1,0.0,0.0,0.0,0,10,1,12,12
HydraHeuristic,0-20,5403.4,278.15,0.0,0.0,0,20,1,29,29
HydraHeuristic,0-30,13916.6,889.5666666666667,0.0,0.0,0,30,1,72,72
HydraHeuristic,0-40,13559.175,1326.75,0.0,0.0,0,40,1,113,113
HydraHeuristic,0-50,13419.52,1487.34,0.0,0.0,0,50,1,174,174
HydraHeuristic,0-60,16402.166666666664,1566.1666666666667,0.0,0.0,0,60,1,230,230
HydraHeuristic,0-70,19736.02857142857,2906.2285714285713,0.0,0.0,0,70,1,338,338
HydraHeuristic,0-80,19406.3125,3106.1,0.0,0.0,0,80,1,426,426
HydraHeuristic,0-90,17935.544444444444,2823.288888888889,0.0,0.0,0,90,1,563,563
HydraHeuristic,0-100,18431.26,3113.74,0.0,0.0,0,100,1,649,649
HydraHeuristic,0-110,17398.390909090907,2968.7363636363634,0.0,0.0,0,110,1,796,796
HydraHeuristic,0-120,17588.641666666666,3623.9666666666667,0.0,0.0,0,120,1,904,904
HydraHeuristic,0-130,18506.815384615384,4338.238461538462,0.0,0.0,0,130,1,1043,1043
HydraHeuristic,0-140,18874.342857142856,4704.021428571428,0.0,0.0,0,140,1,1214,1214
HydraHeuristic,0-150,18315.81333333333,4627.6866666666665,0.0,0.0,0,150,1,1380,1380
HydraHeuristic,0-160,19306.23125,5192.88125,0.0,0.0,0,160,1,1630,1630
HydraHeuristic,0-170,19568.882352941175,5502.605882352941,0.0,0.0,0,170,1,1942,1942
HydraHeuristic,0-180,20110.105555555554,5797.655555555555,0.0,0.0,0,180,1,1943,1943
HydraHeuristic,0-190,19738.65263157895,6044.015789473684,0.0,0.0,0,190,1,2122,2122
HydraHeuristic,0-200,19502.83,6867.465,0.0,0.0,0,200,1,2397,2397
HydraHeuristic,0-210,20304.02857142857,7034.019047619047,0.0,0.0,0,210,1,2597,2597
HydraHeuristic,0-220,20939.163636363635,7397.254545454545,0.0,0.0,0,220,1,2831,2831
HydraHeuristic,0-230,20659.765217391305,7615.926086956521,0.0,0.0,0,230,1,3294,3294
HydraHeuristic,0-240,20753.395833333332,7913.670833333334,0.0,0.0,0,240,1,3650,3650
HydraHeuristic,0-250,21402.152,8724.224,0.0,0.0,0,250,1,3690,3690
HydraHeuristic,0-260,22159.834615384614,9140.823076923078,0.0,0.0,0,260,1,3975,3975
HydraHeuristic,0-270,22867.63703703704,9421.674074074073,0.0,0.0,0,270,1,4330,4330
HydraHeuristic,0-280,23525.757142857143,10036.17857142857,0.0,0.0,0,280,1,4733,4733
HydraHeuristic,0-290,23789.124137931034,10340.082758620689,0.0,0.0,0,290,1,4944,4944
HydraHeuristic,0-300,24443.23,11069.326666666666,0.0,0.0,0,300,1,5274,5274
HydraHeuristic,0-310,25793.767741935484,11790.732258064516,0.0,0.0,0,310,1,5560,5560
HydraHeuristic,0-320,26729.015625,12307.05625,0.0,0.0,0,320,1,5859,5859
HydraHeuristic,0-330,27275.630303030302,12860.269696969697,0.0,0.0,0,330,1,6172,6172
HydraHeuristic,0-340,28491.773529411767,13524.55588235294,0.0,0.0,0,340,1,6571,6571
HydraHeuristic,0-350,28736.797142857144,13837.457142857143,0.0,0.0,0,350,1,6966,6966
HydraHeuristic,0-360,29380.422222222223,15094.136111111111,2594.999999999938,2594.999999999938,1,360,1,7534,7534
HydraHeuristic,0-370,29334.6,15070.745945945946,0.0,0.0,0,370,1,9201,9201
HydraHeuristic,0-380,29703.75,15767.997368421053,2594.999999999949,2594.999999999949,1,380,1,8971,8971
HydraHeuristic,0-390,30093.4,15894.333333333334,2594.9999999999454,2594.9999999999454,1,390,1,8919,8919
HydraHeuristic,0-400,31499.1625,16618.4525,2594.9999999999527,2594.9999999999527,1,400,1,9242,9242
